nr PESEL:65122388777	data urodzenia 23-12-1965;	 plec:mezczyzna
nr PESEL:14322445384	data urodzenia 24-12-2014;	 plec:kobieta
nr PESEL:97012687729	data urodzenia 26-01-1997;	 plec:kobieta
nr PESEL:36042045800	data urodzenia 20-04-1936;	 plec:kobieta
nr PESEL:13241167520	data urodzenia 11-04-2013;	 plec:kobieta
nr PESEL:74100582647	data urodzenia 05-10-1974;	 plec:kobieta
nr PESEL:15323181196	data urodzenia 31-12-2015;	 plec:mezczyzna
nr PESEL:44060582742	data urodzenia 05-06-1944;	 plec:kobieta
nr PESEL:55122341809	data urodzenia 23-12-1955;	 plec:kobieta
nr PESEL:10281198219	data urodzenia 11-08-2010;	 plec:mezczyzna
nr PESEL:30101973716	data urodzenia 19-10-1930;	 plec:mezczyzna
nr PESEL:04240811602	data urodzenia 08-04-2004;	 plec:kobieta
nr PESEL:73102593123	data urodzenia 25-10-1973;	 plec:kobieta
nr PESEL:11230781627	data urodzenia 07-03-2011;	 plec:kobieta
nr PESEL:79012978328	data urodzenia 29-01-1979;	 plec:kobieta
nr PESEL:37091959407	data urodzenia 19-09-1937;	 plec:kobieta
nr PESEL:01270687423	data urodzenia 06-07-2001;	 plec:kobieta
nr PESEL:55090229923	data urodzenia 02-09-1955;	 plec:kobieta
nr PESEL:68110621775	data urodzenia 06-11-1968;	 plec:mezczyzna
nr PESEL:48041092417	data urodzenia 10-04-1948;	 plec:mezczyzna
nr PESEL:71072067345	data urodzenia 20-07-1971;	 plec:kobieta
nr PESEL:23090552895	data urodzenia 05-09-1923;	 plec:mezczyzna
nr PESEL:51010712694	data urodzenia 07-01-1951;	 plec:mezczyzna
nr PESEL:94121865583	data urodzenia 18-12-1994;	 plec:kobieta
nr PESEL:47080278105	data urodzenia 02-08-1947;	 plec:kobieta
nr PESEL:21280385641	data urodzenia 03-08-2021;	 plec:kobieta
nr PESEL:89112974623	data urodzenia 29-11-1989;	 plec:kobieta
nr PESEL:39090238154	data urodzenia 02-09-1939;	 plec:mezczyzna
nr PESEL:82090837458	data urodzenia 08-09-1982;	 plec:mezczyzna
nr PESEL:39101157490	data urodzenia 11-10-1939;	 plec:mezczyzna
nr PESEL:67020155378	data urodzenia 01-02-1967;	 plec:mezczyzna
nr PESEL:59030495414	data urodzenia 04-03-1959;	 plec:mezczyzna
nr PESEL:91071166340	data urodzenia 11-07-1991;	 plec:kobieta
nr PESEL:22100959972	data urodzenia 09-10-1922;	 plec:mezczyzna
nr PESEL:79121034560	data urodzenia 10-12-1979;	 plec:kobieta
nr PESEL:00280335245	data urodzenia 03-08-2000;	 plec:kobieta
nr PESEL:58051536944	data urodzenia 15-05-1958;	 plec:kobieta
nr PESEL:09250762201	data urodzenia 07-05-2009;	 plec:kobieta
nr PESEL:54050649872	data urodzenia 06-05-1954;	 plec:mezczyzna
nr PESEL:69061554532	data urodzenia 15-06-1969;	 plec:mezczyzna
