nr PESEL:54060481200	data urodzenia 04-06-1954;	 plec:kobieta
nr PESEL:50022828494	data urodzenia 28-02-1950;	 plec:mezczyzna
nr PESEL:07282942572	data urodzenia 29-08-2007;	 plec:mezczyzna
nr PESEL:63101055434	data urodzenia 10-10-1963;	 plec:mezczyzna
nr PESEL:32101562565	data urodzenia 15-10-1932;	 plec:kobieta
nr PESEL:51090899270	data urodzenia 08-09-1951;	 plec:mezczyzna
nr PESEL:76042073261	data urodzenia 20-04-1976;	 plec:kobieta
nr PESEL:41010669379	data urodzenia 06-01-1941;	 plec:mezczyzna
nr PESEL:58102261944	data urodzenia 22-10-1958;	 plec:kobieta
nr PESEL:04291577753	data urodzenia 15-09-2004;	 plec:mezczyzna
nr PESEL:77081224881	data urodzenia 12-08-1977;	 plec:kobieta
nr PESEL:68053138204	data urodzenia 31-05-1968;	 plec:kobieta
nr PESEL:77112388250	data urodzenia 23-11-1977;	 plec:mezczyzna
nr PESEL:20212454253	data urodzenia 24-01-2020;	 plec:mezczyzna
nr PESEL:87092968304	data urodzenia 29-09-1987;	 plec:kobieta
nr PESEL:70072995300	data urodzenia 29-07-1970;	 plec:kobieta
nr PESEL:99090881455	data urodzenia 08-09-1999;	 plec:mezczyzna
nr PESEL:82121238674	data urodzenia 12-12-1982;	 plec:mezczyzna
nr PESEL:36112084559	data urodzenia 20-11-1936;	 plec:mezczyzna
nr PESEL:32051853825	data urodzenia 18-05-1932;	 plec:kobieta
nr PESEL:97021517211	data urodzenia 15-02-1997;	 plec:mezczyzna
nr PESEL:31032117750	data urodzenia 21-03-1931;	 plec:mezczyzna
nr PESEL:36092427663	data urodzenia 24-09-1936;	 plec:kobieta
nr PESEL:09261257512	data urodzenia 12-06-2009;	 plec:mezczyzna
nr PESEL:27112299764	data urodzenia 22-11-1927;	 plec:kobieta
nr PESEL:57042289669	data urodzenia 22-04-1957;	 plec:kobieta
nr PESEL:03230765477	data urodzenia 07-03-2003;	 plec:mezczyzna
nr PESEL:92050813941	data urodzenia 08-05-1992;	 plec:kobieta
nr PESEL:66010878613	data urodzenia 08-01-1966;	 plec:mezczyzna
nr PESEL:55021067396	data urodzenia 10-02-1955;	 plec:mezczyzna
nr PESEL:86112772787	data urodzenia 27-11-1986;	 plec:kobieta
nr PESEL:45062833140	data urodzenia 28-06-1945;	 plec:kobieta
nr PESEL:05302544898	data urodzenia 25-10-2005;	 plec:mezczyzna
nr PESEL:03311468851	data urodzenia 14-11-2003;	 plec:mezczyzna
nr PESEL:92110535947	data urodzenia 05-11-1992;	 plec:kobieta
nr PESEL:98011966790	data urodzenia 19-01-1998;	 plec:mezczyzna
nr PESEL:69081662464	data urodzenia 16-08-1969;	 plec:kobieta
nr PESEL:62051178558	data urodzenia 11-05-1962;	 plec:mezczyzna
nr PESEL:25111343248	data urodzenia 13-11-1925;	 plec:kobieta
nr PESEL:99091848152	data urodzenia 18-09-1999;	 plec:mezczyzna
